TEAM,MATCH UP,GAME DATE,W/L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,ASTRATIO,OREB%,DREB%,REB%,TOV%,EFG%,TS%,PACE,PIE
CLE,CLE vs. MIL,04/10/2022,W,48,127.9,109.5,18.4,76.5,3.25,25.5,22.2,76.9,51.5,11.5,64.4,65.5,104.5,56.5
LAL,LAL @ DEN,04/10/2022,W,53,129.2,122.6,6.6,59.1,2,16.7,32.7,70.4,51.9,11.5,55.3,63.7,103.25,52.1
UTA,UTA @ POR,04/10/2022,W,48,112.1,81.6,30.5,62.2,1.35,16.1,42,86.8,65,17.2,50.6,56.2,98.5,69.7
SAC,SAC @ PHX,04/10/2022,W,48,117.2,110.1,7.1,65,1.73,19.7,17.9,63.5,46.1,15.2,61.8,65,99,56.8
DAL,DAL vs. SAS,04/10/2022,W,48,130,120,10,73.9,2.13,23.1,31,78.3,55.7,16,65.9,68.3,100,51.9
WAS,WAS @ CHA,04/10/2022,L,48,108,125.3,-17.3,59.5,2.27,17.4,33.3,62.8,46,11,48.9,51.2,99.5,42.2
POR,POR vs. UTA,04/10/2022,L,48,81.6,112.1,-30.5,67.7,1.31,16.7,13.2,58,35,16.3,42.8,45.3,98.5,30.3
HOU,HOU vs. ATL,04/10/2022,L,48,116.3,134,-17.7,58.5,3,18,21.6,67.4,43.3,8.2,55.6,58.3,97.5,42.3
CHI,CHI @ MIN,04/10/2022,W,48,120.4,116.5,3.9,50,0.96,15.3,45.2,73.9,60.2,22.3,59,63.6,103,50.6
MIA,MIA @ ORL,04/10/2022,L,48,112.1,123.8,-11.6,50,2,15.3,22.8,80.9,49,10.1,52.7,54.9,100,42.4
ORL,ORL vs. MIA,04/10/2022,W,48,123.8,112.1,11.6,73.3,3.3,23.2,19.1,77.2,51,9.9,62.1,64.3,100,57.6
TOR,TOR @ NYK,04/10/2022,L,48,97.9,109.4,-11.5,75,1.93,19.4,28.6,72.9,49,14.6,45.7,48.5,96,43.9
ATL,ATL @ HOU,04/10/2022,W,48,134,116.3,17.7,64.4,2.23,20.6,32.6,78.4,56.7,13.4,63.8,66.6,97.5,57.7
